FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
0.086013,0.895781,0.185012,0.191971
0.447037,-1.184368,0.122120,-0.332025
0.505434,-2.155683,0.863042,0.992992
-0.560508,3.838727,-0.811825,-0.906178
-0.209957,-0.829907,-0.067471,0.305147
-0.151440,0.530895,-0.160210,-0.210712
0.060959,-0.557523,-0.037757,-0.242424
-0.719212,1.347378,-0.628786,-0.563785
0.094048,0.657674,-0.014571,0.096318
0.828536,0.033225,0.860314,0.917904
-0.497423,-2.099828,-0.244463,-0.073539
0.012434,1.341911,-0.232809,-0.414013
0.232280,-1.527992,0.300764,0.289457
0.106248,0.232650,-0.394026,-0.853538
0.249980,0.567177,0.758466,1.460072
-0.466185,-0.680369,-0.494438,-1.351186
-1.047581,0.064536,-4.369119,-3.416071
9.490222,0.883599,10.308654,6.465529
-1.131307,-1.186165,-10.123065,-0.520825
-14.156464,-1.550545,4.291929,-4.154203
2.836911,1.070293,3.243274,0.195652
2.378618,1.841686,-0.935506,4.508785
3.387214,-1.592759,-5.376425,-5.905307
-1.122802,0.081506,3.216576,3.559806
2.887676,-1.518942,7.146143,5.110635
-3.537510,3.518169,-13.212214,-8.414947
-0.656793,-3.589757,6.100409,3.316389
-8.000609,2.635361,-8.900265,-3.016761
9.715778,-0.860745,8.046065,4.175806
-1.844482,2.904640,0.078736,-1.298913
-0.823631,-2.705537,0.862088,-0.510023
3.014821,1.712419,0.848418,1.572297
-2.766233,-2.253291,-3.820198,-2.838916
2.903744,0.792805,4.248053,2.916720
-2.211907,0.254565,-2.181183,-0.219392
0.270754,-2.540072,-1.058901,-2.513204
1.308878,-0.186831,4.510466,3.584833
0.064669,2.105964,-1.212107,-1.194467
-2.591164,0.557425,-2.271817,-0.167405
-0.681804,-0.361051,-2.126678,-1.585445
4.674540,2.931911,3.426907,2.184807
-2.609872,-4.611022,-1.006542,-1.234725
-2.453681,3.082654,-3.905747,0.308260
-0.005873,0.510227,0.150152,-3.278045
2.264079,-2.988999,5.740984,2.844152
4.590974,2.680629,0.849030,2.720305
-7.069333,-3.008829,-5.383367,-6.346159
2.218582,1.690431,1.908258,3.817895
1.547319,2.830840,1.236222,0.522793
-1.029040,-3.573627,-1.758166,-1.470267
0.934979,-1.725610,1.876458,2.005778
-0.603007,4.549978,0.506322,-0.386294
