FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
-0.002732,-0.963499,0.079567,0.149947
0.659880,0.832945,0.308472,0.225302
-0.577862,-1.071392,-0.292758,-0.104816
0.356824,0.107531,0.296809,0.274891
-0.480119,0.816621,-0.543839,-0.603214
0.527283,-0.666842,0.558620,0.445799
-0.206629,-1.660127,-0.217808,-0.135337
-0.645502,1.541066,-0.609400,-0.588711
0.243887,0.872761,0.237257,0.354247
-0.239128,-0.677164,-0.147028,-0.146831
0.598393,-0.343049,0.591511,0.844583
-1.380266,0.685154,-0.933874,-1.010512
0.891040,0.623896,-0.107785,-0.037481
0.395828,-1.792266,1.487754,-0.980572
0.682213,1.591401,-0.413237,0.949322
3.253810,-1.269518,2.727315,-1.364030
-4.063022,1.372315,-2.133739,3.462109
-0.261898,-0.843184,-2.169643,-2.638382
1.552044,1.029302,-0.445709,2.227697
-11.639962,-1.469636,-8.726586,-7.559927
15.026912,1.359371,13.888151,9.887494
-3.118607,-0.458935,-0.887108,-0.143402
-1.908897,1.189765,-2.102858,-0.956280
2.010420,-0.932191,-0.557265,-3.305239
-5.260100,-2.431420,-3.677296,-1.722083
8.099737,2.349376,7.631853,5.979428
-4.903616,-1.664379,-4.726423,-4.218149
0.161156,0.588576,0.152561,-0.603101
7.101533,2.146851,5.053113,2.381866
-7.727570,-2.200480,-5.119914,-0.476513
4.632609,-0.397957,3.193248,1.965656
-1.902229,0.248262,0.326302,1.242734
-4.117132,-0.922938,-4.783966,-6.744600
0.392987,2.312268,2.452678,3.437590
3.229247,-2.227645,1.464010,1.171721
-5.371973,1.883997,-5.383931,-4.804193
6.301809,-2.600341,4.575959,3.383145
-3.665062,3.052611,-0.644517,0.361510
-2.625412,-3.332810,-3.728770,-4.739976
2.906646,1.810272,1.566742,2.605270
-3.522177,-0.395938,-2.257550,-3.285737
5.120831,0.184832,3.247993,4.537043
0.105322,2.527261,2.438705,1.408680
-0.860914,-0.776466,-2.042559,-1.144887
0.349455,-1.179123,-0.928134,-4.135168
