FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
0.007867,-0.067730,0.127964,0.268763
0.058258,2.007559,-0.113650,-0.270399
-0.429136,-0.105262,-0.390260,-0.422985
0.681973,-3.314418,0.820481,0.861604
0.342623,2.220951,0.225323,0.161043
-1.542543,-0.300731,-1.425314,-1.446284
0.644420,-0.123436,0.176396,0.283116
-0.217304,-0.795292,0.122805,-0.268954
1.397498,-0.329065,-0.949080,0.054851
-1.172969,0.960745,2.142079,-1.176537
2.076669,1.112967,1.532578,3.592008
4.173086,-0.475306,0.067991,0.447024
0.078812,-0.510916,-3.102108,-0.307663
-2.520469,-0.604623,0.258316,2.084542
-1.135777,0.044631,2.991011,-2.623542
-4.207989,-0.143719,-1.205508,-1.177520
1.513166,0.418365,0.332641,0.174369
5.657105,0.246697,-3.383476,-0.827711
-6.965333,0.573722,-0.707072,0.288796
0.537718,0.024032,1.808104,0.207728
3.211693,-1.018494,0.259615,0.748198
-3.262696,0.433348,0.550189,-2.454638
2.643611,-1.028129,3.658450,3.418513
-2.049826,0.598494,-1.102615,-0.423704
1.019511,1.515641,-1.538098,-0.160475
0.263052,-1.309651,-0.672059,-0.465890
2.871043,0.115127,1.551397,1.144497
-3.144202,1.930906,-4.166436,-1.467991
3.794288,-0.047487,2.893841,2.203916
-1.729165,-3.028164,0.300368,-1.624436
3.249955,1.838554,2.497529,2.224606
-10.364834,-1.238962,-5.955034,-5.198206
6.449689,2.641351,4.590685,2.975018
-0.326234,-0.843587,-0.846206,0.598089
-5.351453,-3.091453,-2.703927,-2.230640
5.756600,3.197420,3.582224,2.460700
0.927390,-1.361660,2.222362,2.098133
-0.557874,0.323635,-5.560218,-3.863645
-4.478333,-1.324870,-2.892323,-0.903233
3.337816,1.783022,2.018131,0.491027
-2.214577,-0.777302,-1.766794,-2.666248
4.886382,0.215445,4.383812,4.653513
-3.498101,-1.182359,2.897526,-1.091830
-2.354180,0.035848,-3.839813,-0.016095
-0.833620,0.541151,-0.648501,-1.155247
2.456681,0.714545,-0.564630,-0.149830
0.227729,-0.943834,0.925305,0.380507
-0.874540,0.276082,1.039761,0.075867
2.580812,0.263461,1.622872,1.878921
-2.419347,2.012824,-5.113686,-5.181385
