ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-68857.38	-55454.174999999996	-104968.485	-18679.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03259269	-0.047057985000000004	1.02245832	6.72966	0.10682	-0.3815	3304179.0	1776544998.892276	5.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68759.595	-55460.204999999994	-104896.44	-18590.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03259269	-0.047057985000000004	1.02245832	6.72966	0.10682	-0.3815	3304180.0	1776544998.892282	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68750.19	-55459.53	-104892.39	-18586.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03259269	-0.047057985000000004	1.02245832	6.72966	0.10682	-0.3815	3304181.0	1776544998.896305	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68776.38	-55453.275	-104897.34	-18612.855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03259269	-0.047057985000000004	1.02245832	6.72966	0.10682	-0.3815	3304182.0	1776544998.89631	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68733.54	-55453.095	-104899.31999999999	-18586.844999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304183.0	1776544998.900469	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68731.2	-55454.625	-104916.69	-18590.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304184.0	1776544998.900473	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68820.255	-55469.655	-104992.37999999999	-18674.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304185.0	1776544998.934637	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68805.81	-55481.445	-104973.93	-18645.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304186.0	1776544998.934643	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68755.995	-55486.215	-104888.51999999999	-18583.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304187.0	1776544998.934667	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68730.255	-55489.68	-104871.105	-18581.399999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304188.0	1776544998.93467	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68625.22499999999	-55477.53	-104760.495	-18460.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304189.0	1776544998.934677	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68573.34	-55468.439999999995	-104763.64499999999	-18443.114999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304190.0	1776544998.934681	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68829.48	-55493.909999999996	-104964.65999999999	-18656.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304191.0	1776544998.934685	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
-68898.23999999999	-55510.47	-104990.625	-18720.719999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.03100578	-0.038146875000000004	1.018124835	3.9828599999999996	-0.2289	-1.2207999999999999	3304192.0	1776544998.934688	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	peace	Peace	28	0418
