Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
25626.285	30865.454999999998	2877.435	-7868.655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00463866	0.4846179	0.88305438	2.09062	-1.0682	-1.1444999999999999	400827.0	1775936923.623214	5.0	1.0	5.0	-1.0	-1.0	-1.0	1775936923.623214	peace	Peace	1	20260411_124810	Trigger
23560.245	33447.78	566.865	-9970.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00463866	0.4846179	0.88305438	2.09062	-1.0682	-1.1444999999999999	400828.0	1775936923.623236	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.623236	peace	Peace	1	20260411_124810	Trigger
20722.184999999998	38040.659999999996	-2589.615	-12875.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400829.0	1775936923.627277	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.627277	peace	Peace	1	20260411_124810	Trigger
18805.32	41797.619999999995	-4779.72	-14908.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400830.0	1775936923.627297	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.627297	peace	Peace	1	20260411_124810	Trigger
18672.344999999998	42969.06	-4925.429999999999	-15069.824999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400831.0	1775936923.631158	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.631158	peace	Peace	1	20260411_124810	Trigger
20662.335	40618.125	-2761.785	-13097.699999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400832.0	1775936923.631163	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.631163	peace	Peace	1	20260411_124810	Trigger
23564.295	36058.275	427.68	-10160.595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400833.0	1775936923.635195	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.635195	peace	Peace	1	20260411_124810	Trigger
25889.129999999997	31716.809999999998	3031.56	-7741.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400834.0	1775936923.635219	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.635219	peace	Peace	1	20260411_124810	Trigger
26180.37	30110.219999999998	3425.4449999999997	-7355.925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400835.0	1775936923.639242	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.639242	peace	Peace	1	20260411_124810	Trigger
24644.655	31724.46	1704.06	-8912.475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400836.0	1775936923.639264	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.639264	peace	Peace	1	20260411_124810	Trigger
21825.809999999998	36082.485	-1429.11	-11791.619999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400837.0	1775936923.643208	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.643208	peace	Peace	1	20260411_124810	Trigger
19463.715	40469.445	-4121.19	-14288.984999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.003356925	0.48998898	0.881162295	-1.25132	-1.05294	0.88508	400838.0	1775936923.643228	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.643228	peace	Peace	1	20260411_124810	Trigger
18753.66	42515.01	-4919.8949999999995	-15047.279999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400839.0	1775936923.647152	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.647152	peace	Peace	1	20260411_124810	Trigger
20088.495	41313.51	-3421.17	-13675.994999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400840.0	1775936923.647171	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.647171	peace	Peace	1	20260411_124810	Trigger
22872.96	37248.479999999996	-385.83	-10892.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400841.0	1775936923.651311	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.651311	peace	Peace	1	20260411_124810	Trigger
25582.725	32506.559999999998	2582.325	-8142.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400842.0	1775936923.65133	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.65133	peace	Peace	1	20260411_124810	Trigger
26495.01	29947.59	3690.3599999999997	-7110.179999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400843.0	1775936923.655235	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.655235	peace	Peace	1	20260411_124810	Trigger
25533.27	30545.684999999998	2622.645	-8075.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400844.0	1775936923.655254	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.655254	peace	Peace	1	20260411_124810	Trigger
22909.274999999998	34320.06	-264.555	-10711.305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400845.0	1775936923.659864	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.659864	peace	Peace	1	20260411_124810	Trigger
20181.645	39080.655	-3299.04	-13512.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400846.0	1775936923.659883	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.659883	peace	Peace	1	20260411_124810	Trigger
18914.399999999998	42005.61	-4738.95	-14864.265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400847.0	1775936923.66324	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.66324	peace	Peace	1	20260411_124810	Trigger
19627.785	41909.76	-3962.52	-14173.154999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.0037231350000000002	0.491392785	0.881040225	-5.9208799999999995	-1.58704	1.8159399999999999	400848.0	1775936923.663259	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.663259	peace	Peace	1	20260411_124810	Trigger
22111.29	38571.255	-1253.565	-11684.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400849.0	1775936923.669352	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.669352	peace	Peace	1	20260411_124810	Trigger
24981.524999999998	33805.575	1849.86	-8826.705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400850.0	1775936923.669371	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.669371	peace	Peace	1	20260411_124810	Trigger
26547.704999999998	30362.085	3656.3399999999997	-7149.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400851.0	1775936923.671349	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.671349	peace	Peace	1	20260411_124810	Trigger
26113.454999999998	29993.85	3229.605	-7516.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400852.0	1775936923.671368	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.671368	peace	Peace	1	20260411_124810	Trigger
23884.379999999997	32940.27	770.175	-9760.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400853.0	1775936923.675425	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.675425	peace	Peace	1	20260411_124810	Trigger
20974.905	37770.885	-2445.39	-12723.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400854.0	1775936923.67543	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.67543	peace	Peace	1	20260411_124810	Trigger
19144.26	41528.385	-4551.57	-14673.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400855.0	1775936923.679255	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.679255	peace	Peace	1	20260411_124810	Trigger
19210.14	42436.845	-4502.115	-14657.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400856.0	1775936923.679273	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.679273	peace	Peace	1	20260411_124810	Trigger
21286.035	39991.68	-2246.355	-12616.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400857.0	1775936923.683351	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.683351	peace	Peace	1	20260411_124810	Trigger
24143.445	35473.814999999995	918.36	-9700.425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.006896955	0.48925656	0.88085712	-8.0878	-0.9003399999999999	3.00622	400858.0	1775936923.683373	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.683373	peace	Peace	1	20260411_124810	Trigger
26295.254999999997	31302.675	3359.3849999999998	-7423.0199999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400859.0	1775936923.687365	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.687365	peace	Peace	1	20260411_124810	Trigger
26415.18	30001.184999999998	3560.67	-7212.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400860.0	1775936923.687383	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.687383	peace	Peace	1	20260411_124810	Trigger
24735.735	31932.18	1670.985	-8928.404999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400861.0	1775936923.69127	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.69127	peace	Peace	1	20260411_124810	Trigger
21869.46	36464.31	-1498.725	-11845.305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400862.0	1775936923.691289	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.691289	peace	Peace	1	20260411_124810	Trigger
19546.245	40827.645	-4114.53	-14268.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400863.0	1775936923.695395	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.695395	peace	Peace	1	20260411_124810	Trigger
18981.855	42698.835	-4761.224999999999	-14892.974999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400864.0	1775936923.695414	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.695414	peace	Peace	1	20260411_124810	Trigger
20472.3	41310.63	-3130.6949999999997	-13414.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400865.0	1775936923.699366	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.699366	peace	Peace	1	20260411_124810	Trigger
23231.7	37236.915	-94.27499999999999	-10626.029999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400866.0	1775936923.699385	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.699385	peace	Peace	1	20260411_124810	Trigger
25832.43	32602.23	2779.9649999999997	-7965.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400867.0	1775936923.703397	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.703397	peace	Peace	1	20260411_124810	Trigger
26572.23	30358.035	3679.065	-7114.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.00891111	0.486387915	0.888608565	-9.18652	-1.03768	4.39488	400868.0	1775936923.703417	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.703417	peace	Peace	1	20260411_124810	Trigger
25458.075	31248.945	2435.4	-8231.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400869.0	1775936923.707302	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.707302	peace	Peace	1	20260411_124810	Trigger
22776.165	35236.979999999996	-538.605	-10957.814999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400870.0	1775936923.707321	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.707321	peace	Peace	1	20260411_124810	Trigger
20102.895	39969.54	-3521.6549999999997	-13712.039999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400871.0	1775936923.712519	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.712519	peace	Peace	1	20260411_124810	Trigger
18941.67	42731.595	-4832.73	-14947.605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400872.0	1775936923.712538	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.712538	peace	Peace	1	20260411_124810	Trigger
19777.32	42436.485	-3920.31	-14132.519999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400873.0	1775936923.715419	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.715419	peace	Peace	1	20260411_124810	Trigger
22307.309999999998	39001.365	-1144.44	-11588.039999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400874.0	1775936923.715437	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.715437	peace	Peace	1	20260411_124810	Trigger
25114.77	34291.665	1940.715	-8739.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.010192845	0.47900268	0.8876320050000001	-9.33912	-0.28994	1.8769799999999999	400875.0	1775936923.720849	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936923.720849	peace	Peace	1	20260411_124810	Trigger
