Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2108.025000	25177.590000	-20307.375000	-14524.155000	0.000000	0.000000	0.000000	0.000000	43.051799	6.386205	69.547172	69.196560	-0.000000	0.000000	0.000000	0.000000	3.219860	0.305200	-0.717220	-0.019165	0.749632	0.664000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564825.000000	1772919159.776222
-2140.380000	25203.735000	-20359.800000	-14579.235000	0.000000	0.000000	0.000000	0.000000	82.966660	-6.004829	124.957061	130.929673	-0.000000	0.000000	0.000000	0.000000	3.219860	0.305200	-0.717220	-0.019165	0.749632	0.664000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564826.000000	1772919159.776226
-2192.490000	25249.185000	-20434.230000	-14656.815000	0.000000	0.000000	0.000000	0.000000	77.628030	-7.087486	112.288654	121.213572	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564827.000000	1772919159.782330
-2293.650000	25346.205000	-20577.420000	-14805.990000	0.000000	0.000000	0.000000	0.000000	31.408357	-6.907273	40.023820	46.847188	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564828.000000	1772919159.782334
-2334.330000	25364.295000	-20632.275000	-14871.645000	0.000000	0.000000	0.000000	0.000000	-30.438734	-9.637278	-52.370283	-51.455197	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564829.000000	1772919159.785526
-2301.570000	25363.620000	-20578.905000	-14817.105000	0.000000	0.000000	0.000000	0.000000	-74.204988	-16.683130	-114.734701	-120.244644	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564830.000000	1772919159.785529
-2256.795000	25371.810000	-20512.305000	-14747.850000	0.000000	0.000000	0.000000	0.000000	-74.774290	-29.058456	-111.692864	-120.552872	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564831.000000	1772919159.788641
-2172.420000	25357.545000	-20386.125000	-14619.510000	0.000000	0.000000	0.000000	0.000000	-31.533995	-42.699283	-44.730169	-52.019269	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564832.000000	1772919159.788646
-2107.620000	25321.545000	-20298.870000	-14522.535000	0.000000	0.000000	0.000000	0.000000	31.353629	-50.204649	48.917232	47.048884	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564833.000000	1772919159.792120
-2121.570000	25260.840000	-20331.090000	-14554.440000	0.000000	0.000000	0.000000	0.000000	79.464073	-47.706074	118.155525	122.550148	-0.000000	0.000000	0.000000	0.000000	3.906560	0.000000	-0.854560	-0.019287	0.749022	0.663695	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	139.172414	0.000000	-1.000000	-1.000000	564834.000000	1772919159.792139
