Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
14844.195	10405.71	9532.395	3001.5899999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.15167197500000001	0.380187015	0.92016366	6.867	0.36624	-0.6103999999999999	389757.0	1775936901.422496	6.0	1.0	6.0	-1.0	-1.0	-1.0	1775936901.422496	hang-loose	Hang Loose	1	20260411_124810	Trigger
8221.41	18487.035	2769.66	-3642.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.15167197500000001	0.380187015	0.92016366	6.867	0.36624	-0.6103999999999999	389758.0	1775936901.422518	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.422518	hang-loose	Hang Loose	1	20260411_124810	Trigger
8589.645	20391.21	2862.54	-3953.3399999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389759.0	1775936901.426501	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.426501	hang-loose	Hang Loose	1	20260411_124810	Trigger
14387.445	15371.505	8711.324999999999	1868.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389760.0	1775936901.42652	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.42652	hang-loose	Hang Loose	1	20260411_124810	Trigger
21724.785	6164.6849999999995	16020.449999999999	8733.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389761.0	1775936901.430444	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.430444	hang-loose	Hang Loose	1	20260411_124810	Trigger
20186.594999999998	-2686.815	16758.899999999998	11860.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389762.0	1775936901.430463	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.430463	hang-loose	Hang Loose	1	20260411_124810	Trigger
13018.455	-5744.429999999999	11680.965	9156.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389763.0	1775936901.434549	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.434549	hang-loose	Hang Loose	1	20260411_124810	Trigger
22058.235	-814.77	17155.17	10494.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389764.0	1775936901.434572	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.434572	hang-loose	Hang Loose	1	20260411_124810	Trigger
16630.38	8664.705	11010.645	4217.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389765.0	1775936901.438499	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.438499	hang-loose	Hang Loose	1	20260411_124810	Trigger
9235.574999999999	17142.165	3555.81	-2959.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.1550289	0.3796377	0.92199471	9.18652	-0.41202	-3.52506	389766.0	1775936901.438518	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936901.438518	hang-loose	Hang Loose	1	20260411_124810	Trigger
