ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-65247.345	-52166.07	-100755.495	-17524.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123039.0	1776544635.378854	2.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65171.61	-52166.34	-100688.89499999999	-17469.899999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123040.0	1776544635.378869	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65228.939999999995	-52172.505	-100734.25499999999	-17514.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123041.0	1776544635.383084	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65395.17	-52181.954999999994	-100886.84999999999	-17653.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123042.0	1776544635.383099	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65414.115	-52167.015	-100901.61	-17681.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123043.0	1776544635.385364	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65351.115	-52151.67	-100830.105	-17629.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123044.0	1776544635.385379	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65336.354999999996	-52142.4	-100809.405	-17602.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123045.0	1776544635.389376	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65331.945	-52135.695	-100838.7	-17601.795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123046.0	1776544635.389391	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65320.965	-52144.74	-100840.23	-17586.899999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123047.0	1776544635.39341	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
-65324.024999999994	-52154.46	-100838.295	-17585.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.08697487500000001	0.06030258	1.00085193	0.01526	-1.1444999999999999	0.33571999999999996	3123048.0	1776544635.393424	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	closed-hand	Close	8	0418
