Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
15011.82	9445.545	7567.83	-2212.6949999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.18933057	0.236266485	0.967343715	5.82932	-15.580459999999999	7.2332399999999994	386987.0	1775936895.870552	2.0	1.0	2.0	-1.0	-1.0	-1.0	1775936895.870552	closed-hand	Close	1	20260411_124810	Trigger
5190.389999999999	1085.985	3318.66	533.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.18933057	0.236266485	0.967343715	5.82932	-15.580459999999999	7.2332399999999994	386988.0	1775936895.870583	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.870583	closed-hand	Close	1	20260411_124810	Trigger
9751.23	-794.88	6615.045	582.885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386989.0	1775936895.874673	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.874673	closed-hand	Close	1	20260411_124810	Trigger
17800.965	3779.2349999999997	9658.935	-2140.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386990.0	1775936895.874693	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.874693	closed-hand	Close	1	20260411_124810	Trigger
12129.93	11800.26	3709.17	-7762.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386991.0	1775936895.875671	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.875671	closed-hand	Close	1	20260411_124810	Trigger
6400.9349999999995	19031.985	-1895.985	-12969.539999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386992.0	1775936895.87569	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.87569	closed-hand	Close	1	20260411_124810	Trigger
7466.355	19727.82	-953.055	-12139.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386993.0	1775936895.879649	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.879649	closed-hand	Close	1	20260411_124810	Trigger
12317.895	14762.97	3751.29	-7781.174999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386994.0	1775936895.879668	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.879668	closed-hand	Close	1	20260411_124810	Trigger
15674.31	9684.0	7337.384999999999	-4137.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386995.0	1775936895.883643	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.883643	closed-hand	Close	1	20260411_124810	Trigger
9804.51	1891.62	5930.865	337.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.48275862068965	0.0	0.206237265	0.23449647	0.962705055	-0.03052	-14.603819999999999	8.28618	386996.0	1775936895.883666	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936895.883666	closed-hand	Close	1	20260411_124810	Trigger
