Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
11846.564999999999	28375.065	-3561.66	-13721.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406361.0	1775936934.721808	2.0	1.0	2.0	-1.0	-1.0	-1.0	1775936934.721808	closed-hand	Close	2	20260411_124810	Trigger
12024.585	28570.995	-3583.2599999999998	-13727.385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406362.0	1775936934.721835	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.721835	closed-hand	Close	2	20260411_124810	Trigger
12056.58	28412.37	-3425.7149999999997	-13597.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406363.0	1775936934.725857	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.725857	closed-hand	Close	2	20260411_124810	Trigger
11982.375	27965.43	-3159.99	-13395.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406364.0	1775936934.725876	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.725876	closed-hand	Close	2	20260411_124810	Trigger
11803.455	27519.03	-2956.365	-13252.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406365.0	1775936934.72981	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.72981	closed-hand	Close	2	20260411_124810	Trigger
11514.51	27313.695	-2948.58	-13270.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406366.0	1775936934.729829	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.729829	closed-hand	Close	2	20260411_124810	Trigger
11465.01	27398.07	-3072.915	-13384.215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406367.0	1775936934.733789	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.733789	closed-hand	Close	2	20260411_124810	Trigger
11597.76	27799.379999999997	-3313.035	-13566.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.093932865	0.408507255	0.918881925	6.21082	-0.3815	-0.7019599999999999	406368.0	1775936934.733809	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.733809	closed-hand	Close	2	20260411_124810	Trigger
11786.265	28265.535	-3522.96	-13708.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.092834235	0.40930071	0.917295015	5.55464	0.15259999999999999	-0.21364	406369.0	1775936934.737724	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.737724	closed-hand	Close	2	20260411_124810	Trigger
11985.885	28551.735	-3592.62	-13738.904999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.092834235	0.40930071	0.917295015	5.55464	0.15259999999999999	-0.21364	406370.0	1775936934.737751	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936934.737751	closed-hand	Close	2	20260411_124810	Trigger
