Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-17384.760000	-13918.995000	-18140.760000	-13191.795000	0.000000	0.000000	0.000000	0.000000	2.790483	9.610251	-0.157840	0.385250	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246899.000000	1772311151.878685
-17385.480000	-13904.730000	-18140.805000	-13194.495000	0.000000	0.000000	0.000000	0.000000	-1.642505	-5.281943	-1.373592	-0.459961	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246900.000000	1772311151.878693
-17372.610000	-13905.765000	-18128.790000	-13185.675000	0.000000	0.000000	0.000000	0.000000	-5.096002	-21.535829	-1.855056	-1.056270	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246901.000000	1772311151.882729
-17359.065000	-13930.380000	-18115.875000	-13176.180000	0.000000	0.000000	0.000000	0.000000	-3.861428	-38.332871	0.529756	0.480497	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246902.000000	1772311151.882733
-17353.215000	-13970.250000	-18111.555000	-13172.400000	0.000000	0.000000	0.000000	0.000000	2.237406	-52.096252	5.592151	4.444922	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246903.000000	1772311151.887750
-17338.905000	-13968.225000	-18097.020000	-13152.510000	0.000000	0.000000	0.000000	0.000000	9.127950	-56.704563	10.134007	8.564531	0.000000	0.000000	-0.000000	-0.000000	1.953280	0.137340	-0.167860	0.016602	0.976499	-0.102783	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246904.000000	1772311151.887754
-17322.570000	-13939.605000	-18076.725000	-13130.190000	0.000000	0.000000	0.000000	0.000000	12.452380	-45.631334	11.250650	10.601688	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246905.000000	1772311151.890786
-17327.340000	-13925.340000	-18079.470000	-13126.860000	0.000000	0.000000	0.000000	0.000000	10.448205	-17.452692	8.357385	9.657858	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246906.000000	1772311151.890789
-17369.415000	-13899.060000	-18124.335000	-13174.065000	0.000000	0.000000	0.000000	0.000000	2.826550	19.070634	1.240096	4.297188	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246907.000000	1772311151.894821
-17412.615000	-13879.800000	-18162.225000	-13213.395000	0.000000	0.000000	0.000000	0.000000	-9.919203	49.015350	-10.491931	-7.212514	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246908.000000	1772311151.894824
-17431.380000	-13870.620000	-18170.505000	-13222.530000	0.000000	0.000000	0.000000	0.000000	-23.760044	60.643889	-23.353378	-21.827896	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246909.000000	1772311151.898778
-17381.970000	-13850.280000	-18131.670000	-13186.440000	0.000000	0.000000	0.000000	0.000000	-29.535114	51.223318	-28.313459	-29.601922	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246910.000000	1772311151.898782
-17371.845000	-13802.130000	-18123.345000	-13172.895000	0.000000	0.000000	0.000000	0.000000	-19.074620	27.983452	-17.996018	-21.530427	0.000000	0.000000	-0.000000	-0.000000	3.998120	0.198380	-0.228900	0.016602	0.976377	-0.099304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	246911.000000	1772311151.902649
