Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-1582.200000	36071.100000	-14776.560000	-18025.740000	0.000000	0.000000	0.000000	0.000000	-7.245205	27.816134	-4.791863	-0.468287	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215709.000000	1772918459.712175
-1540.530000	35904.285000	-14734.890000	-17989.920000	0.000000	0.000000	0.000000	0.000000	-98.654772	73.714180	-136.150959	-151.614551	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215710.000000	1772918459.712177
-1474.290000	35829.405000	-14648.040000	-17891.505000	0.000000	0.000000	0.000000	0.000000	-135.237250	74.180091	-192.407957	-219.580901	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215711.000000	1772918459.712362
-1375.650000	35810.955000	-14511.600000	-17740.485000	0.000000	0.000000	0.000000	0.000000	-95.920773	31.421427	-141.189299	-165.228499	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215712.000000	1772918459.712365
-1224.090000	35800.065000	-14284.890000	-17486.910000	0.000000	0.000000	0.000000	0.000000	-3.951629	-19.795588	-11.997269	-19.788449	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215713.000000	1772918459.716690
-1232.640000	35799.345000	-14274.900000	-17464.275000	0.000000	0.000000	0.000000	0.000000	89.361374	-44.380293	124.340107	137.000020	0.000000	0.000000	0.000000	0.000000	2.166920	0.228900	0.534100	-0.047851	0.878843	0.474059	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215714.000000	1772918459.716693
-1311.255000	35792.505000	-14387.445000	-17586.495000	0.000000	0.000000	0.000000	0.000000	131.651674	-33.404302	192.022660	218.361062	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215715.000000	1772918459.720513
-1415.115000	35820.810000	-14541.345000	-17748.090000	0.000000	0.000000	0.000000	0.000000	97.569190	-1.654502	149.932035	175.864726	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215716.000000	1772918459.720516
-1491.885000	35766.450000	-14689.440000	-17918.595000	0.000000	0.000000	0.000000	0.000000	7.139096	28.257189	20.814658	32.849587	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215717.000000	1772918459.759624
-1533.690000	35726.580000	-14742.405000	-17987.760000	0.000000	0.000000	0.000000	0.000000	-86.522334	38.297413	-121.031293	-128.674044	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215718.000000	1772918459.759628
-1499.670000	35696.475000	-14680.125000	-17916.480000	0.000000	0.000000	0.000000	0.000000	-131.597943	23.902931	-195.839410	-218.694509	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215719.000000	1772918459.759632
-1446.120000	35693.730000	-14593.455000	-17816.805000	0.000000	0.000000	0.000000	0.000000	-106.497400	-3.081756	-164.262518	-189.954893	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215720.000000	1772918459.759635
-1317.240000	35700.345000	-14399.370000	-17600.040000	0.000000	0.000000	0.000000	0.000000	-27.201729	-23.983846	-46.237582	-61.080012	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215721.000000	1772918459.759638
-1218.240000	35595.180000	-14277.735000	-17458.065000	0.000000	0.000000	0.000000	0.000000	66.305032	-29.253023	96.267340	99.838409	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215722.000000	1772918459.759640
-1243.575000	35520.885000	-14326.110000	-17510.895000	0.000000	0.000000	0.000000	0.000000	129.218176	-25.128956	191.561527	211.113190	0.000000	0.000000	0.000000	0.000000	1.083460	0.015260	1.587040	-0.048401	0.879453	0.475035	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	215723.000000	1772918459.759643
