,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
179,-856.569582,359.336,-382.733477,-1176.639632,-2059.170149,-2926.98196,-1795.875649,-624.337806,1.9659103407356187
180,-412.040562,560.607952,-440.791155,-958.202178,-1451.280198,-2112.333353,-1172.956366,-354.817194,1.9659635548201206
181,-126.511542,933.879904,-9.848833,-470.764724,-939.390247,-1278.684746,-538.037083,-339.296581,1.9663802769375252
182,-19.982522,732.151857,-301.906511,-359.32727,-563.500296,-755.03614,-53.1178,-209.775968,1.9671792908307328
183,753.546498,920.423809,-290.964189,93.110184,433.389655,596.612467,1127.801482,812.744644,1.9683742129416801
184,1708.075518,1004.695761,-310.021867,65.547638,699.279606,1269.261073,1786.720765,2056.265257,1.9699729079149537
185,977.604537,745.967713,-326.079545,-189.014907,194.169557,253.90968,600.640048,1213.78587,1.9719770064623596
186,109.133557,652.239665,-245.137224,-467.577453,-517.940492,-880.441714,-624.440669,218.306483,1.9743815411314853
187,-367.337423,518.511617,-19.194902,-440.139999,-1010.050541,-1531.793107,-1190.521386,-204.172905,1.9771747129708477
188,-451.808403,506.783569,-60.25258,-544.702545,-1049.16059,-1728.1445,-1192.602103,-299.652292,1.980337799159928
189,-661.279383,564.055521,-35.310258,-747.265091,-1566.270639,-2600.495894,-1706.68282,-602.131679,1.9838452084441265
190,-124.750363,809.327473,-6.367936,-595.827637,-1089.380688,-1866.847287,-991.763537,-189.611067,1.987664687760267
191,168.778657,902.599425,149.574386,-247.390183,-635.490737,-1071.198681,-304.844254,-324.090454,1.9917576798417203
192,465.307676,1032.871377,123.516708,52.047272,-29.600786,-415.550074,163.075029,-75.569841,1.9960798279415142
193,1007.836696,1135.143329,-53.54097,323.484726,799.289166,817.098532,1242.994311,1221.950772,2.000581620196954
194,1440.365716,1230.415281,-57.598648,481.92218,1244.179117,1599.747139,1759.913594,2092.471384,2.0052091626698534
195,1045.894736,1287.687233,552.343674,594.359634,491.069068,445.395746,574.832877,1383.991997,2.009905066819658
196,73.423756,747.959185,-35.714004,-396.202912,-543.040981,-858.955648,-686.24784,276.51261,2.0146094341852336
197,-676.047224,497.231137,-194.771682,-729.765458,-1133.15103,-1612.307041,-1361.328557,-292.966778,2.019260918440857
198,-993.518205,543.50309,218.17064,-224.328004,-835.261079,-1618.658435,-1194.409274,-257.446165,2.0237978428206023
199,-749.989185,908.775042,437.112962,-494.890549,-1470.371128,-2480.009828,-1642.489991,-452.925552,2.02815934923014
200,306.539835,1246.046994,443.055283,-446.453095,-1193.481177,-1804.361221,-913.570708,78.595061,2.032286554231853
201,703.068855,1037.318946,-254.002395,-516.015641,-511.591226,-919.712615,-173.651425,518.115673,2.036123686531136
202,1273.597875,1662.590898,719.939927,804.421813,698.298725,215.935992,685.267858,1213.636286,2.0396191806283435
203,1931.126895,1909.86285,789.882249,1189.859267,1545.188676,1443.584598,1892.18714,1980.156899,2.0427267019374127
204,2211.655914,2066.134802,726.824571,1236.296721,2083.078627,2267.233205,2340.106423,2213.677511,2.045406079899663
205,921.184934,1351.406754,224.766893,404.734175,903.968578,893.881811,833.025706,943.198124,2.047624127416315
206,-219.286046,615.678706,-384.290785,-685.82837,-741.141471,-958.469582,-797.055011,-207.281263,2.0493553272486333
207,-788.757026,193.950658,-558.348463,-1052.390916,-1553.25152,-1856.820975,-1557.135728,-611.76065,2.050582368840059
208,-873.228006,224.22261,-420.406141,-1128.953462,-1545.361569,-1992.172369,-1429.216445,-653.240038,2.0512965222379163
209,-921.698986,371.494562,-264.463819,-1219.516008,-2007.471617,-2765.523762,-1855.297162,-810.719425,2.051497839360356
210,-749.169966,-98.233486,-589.521497,-1148.078554,-1685.581666,-2202.875156,-1239.377879,-439.198812,2.051195176685168
211,-626.640947,-301.961534,-808.579175,-967.6411,-1014.691715,-1237.226549,-511.458596,-136.6782,2.0504060374418924
212,-247.111927,398.310418,-478.636853,-601.203646,-597.801764,-745.577942,-96.539313,29.842413,2.0491562354732404
213,518.417093,834.58237,-381.694532,67.233809,431.088187,553.070664,1032.37997,693.363026,2.0474793869993912
214,1086.946113,1067.854323,65.24779,620.671263,1017.978138,1325.719271,1484.299252,1117.883639,2.0454162404717375
215,728.475133,891.126275,-42.809888,157.108717,226.868089,373.367877,494.218535,829.404251,2.043013858445647
216,171.004153,702.398227,-186.867566,-554.453829,-677.24196,-668.983516,-447.862182,405.924864,2.040324668843422
217,-185.466828,631.670179,-135.925244,-644.016375,-1125.352009,-1394.33491,-1116.942899,-201.554523,2.0374054060340163
218,-128.937808,779.942131,164.017078,-466.578921,-1225.462058,-1635.686303,-1117.023616,-250.033911,2.034315964749036
219,-238.408788,822.214083,197.9594,-669.141466,-1658.572107,-2396.037696,-1579.104333,-479.513298,2.031118191919532
220,331.120232,997.486035,443.901722,-327.704012,-1238.682156,-1790.38909,-990.18505,-20.992685,2.027874643001902
221,340.649252,606.757987,-177.155956,-438.266558,-749.792205,-1030.740483,-431.265767,229.527928,2.024647330224343
222,153.178272,552.029939,-455.213634,-470.829104,-330.902254,-569.091877,-90.346484,393.04854,2.0214964904031594
223,966.707291,1034.301891,-429.271312,-60.39165,404.987697,466.55673,896.572799,1185.569153,2.0184793995421253
224,1431.236311,1063.573843,-631.32899,61.045804,896.877649,1375.205336,1529.492081,1601.089766,2.0156492603453247
225,666.765331,584.845795,-608.386668,-274.516742,193.7676,452.853943,407.411364,781.610378,2.013054187067887
226,35.294351,682.117747,-173.444346,-375.079287,-528.342449,-685.49745,-804.669353,-50.869009,2.0107363098387623
227,-331.176629,684.389699,25.497975,-308.641833,-886.452498,-1252.848844,-1351.75007,-512.348396,2.0087310177690303
228,-560.647609,590.661651,-63.559703,-444.204379,-1158.562547,-1719.200237,-1510.830787,-666.827783,2.0070663568756846
229,-852.118589,454.933603,-146.617381,-904.766925,-1817.672596,-2567.551631,-1974.911504,-852.307171,2.005762595183818
230,-240.58957,520.205555,-504.675059,-1111.329471,-1641.782645,-1905.903024,-1278.992221,-292.786558,2.0048319634091034
231,11.93945,620.477508,-408.732737,-634.892017,-829.892694,-981.254417,-680.072938,-123.265945,2.0042785754646477
232,348.46847,951.74946,-147.790415,-256.454563,-365.002743,-374.605811,-205.153655,94.254667,2.0040985287841484
233,1121.99749,1014.021412,-561.848093,-372.017108,214.887208,696.042796,892.765628,1199.77528,2.004280180212103
234,1295.52651,887.293364,-565.905771,-55.579654,742.777159,1560.691402,1579.68491,1931.295893,2.004804589086925
235,183.05553,624.565316,-300.963449,-221.1422,112.66711,598.340009,398.604193,938.816506,2.005646115236805
236,-319.415451,725.837268,43.978873,-523.704746,-909.442939,-734.011385,-807.476524,-115.662882,2.0067731560181787
237,-109.886431,743.10922,-303.078805,-1168.267292,-1570.552988,-1500.362778,-1494.557241,-515.142269,2.008149003341828
238,-123.357411,612.381172,-197.136483,-537.829838,-1169.663037,-1593.714171,-1374.637958,-469.621656,2.00973279893077
