ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
-48502.259999999995	-38413.665	-80053.065	-13542.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537768.0	1776543460.856689	2.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48564.18	-38424.689999999995	-80088.345	-13609.664999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537769.0	1776543460.856693	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48633.39	-38464.155	-80184.87	-13713.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537770.0	1776543460.860768	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48602.52	-38442.33	-80238.95999999999	-13792.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537771.0	1776543460.860791	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48414.869999999995	-38374.965	-80115.39	-13720.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537772.0	1776543460.864728	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48323.475	-38329.11	-80023.905	-13605.615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537773.0	1776543460.864731	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48371.354999999996	-38331.494999999995	-80089.37999999999	-13574.744999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537774.0	1776543460.868739	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48464.775	-38331.405	-80152.29	-13543.244999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.061706385	0.07556133	1.009946145	1.12924	0.01526	-1.57178	2537775.0	1776543460.868753	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48517.695	-38320.29	-80045.55	-13465.529999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.058532565	0.069030585	1.01574447	5.31048	-0.07629999999999999	-1.15976	2537776.0	1776543460.874892	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48570.659999999996	-38342.07	-80085.69	-13543.064999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.058532565	0.069030585	1.01574447	5.31048	-0.07629999999999999	-1.15976	2537777.0	1776543460.874906	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48686.895	-38415.6	-80233.515	-13694.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.058532565	0.069030585	1.01574447	5.31048	-0.07629999999999999	-1.15976	2537778.0	1776543460.877755	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48627.09	-38440.89	-80234.50499999999	-13690.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.058532565	0.069030585	1.01574447	5.31048	-0.07629999999999999	-1.15976	2537779.0	1776543460.877769	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
-48473.46	-38326.994999999995	-80177.76	-13603.814999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.058532565	0.069030585	1.01574447	5.31048	-0.07629999999999999	-1.15976	2537780.0	1776543460.880758	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	closed-hand	Close	1	calibration_20260418_131737	marker
