ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-66234.015	-52906.994999999995	-102105.495	-17855.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179954.0	1776544749.593481	3.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66187.53	-52898.625	-102053.16	-17879.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179955.0	1776544749.593485	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66422.11499999999	-52906.229999999996	-102280.68	-18093.465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179956.0	1776544749.596465	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66312.18	-52901.325	-102178.08	-17994.329999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179957.0	1776544749.596469	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66066.56999999999	-52890.075	-101982.78	-17786.204999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179958.0	1776544749.599127	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66316.995	-52906.905	-102196.17	-17988.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.005310045	-0.068420235	1.024594545	2.65524	-1.17502	-1.9990599999999998	3179959.0	1776544749.599131	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66482.19	-52917.75	-102203.595	-18001.305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179960.0	1776544749.605128	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66245.985	-52909.695	-102023.28	-17849.925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179961.0	1776544749.605132	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66130.29	-52905.869999999995	-101993.805	-17765.774999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179962.0	1776544749.608187	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66276.81	-52910.415	-102081.33	-17852.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179963.0	1776544749.608191	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66319.65	-52912.439999999995	-102161.34	-17943.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179964.0	1776544749.611204	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66228.66	-52907.265	-102215.43	-18044.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179965.0	1776544749.611208	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66153.33	-52892.954999999994	-102087.98999999999	-17930.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179966.0	1776544749.615926	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66289.95	-52889.354999999996	-102181.095	-17966.114999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179967.0	1776544749.61593	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
-66350.83499999999	-52905.329999999994	-102249.72	-18019.079999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.01147458	-0.06542952	1.02135969	2.3653	-1.2055399999999998	-0.2289	3179968.0	1776544749.619117	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	9	0418
