ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-66144.19499999999	-52743.509999999995	-101667.285	-17886.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174782.0	1776544739.212146	3.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66017.79	-52733.655	-101474.73	-17706.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174783.0	1776544739.21215	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66083.58	-52738.424999999996	-101524.635	-17738.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174784.0	1776544739.216301	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66243.555	-52760.295	-101772.94499999999	-18005.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174785.0	1776544739.216318	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66315.23999999999	-52773.659999999996	-101812.95	-18051.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174786.0	1776544739.220151	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66231.675	-52780.545	-101691.98999999999	-17949.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174787.0	1776544739.220155	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66213.27	-52780.905	-101663.86499999999	-17928.765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174788.0	1776544739.226481	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66039.255	-52764.255	-101534.08499999999	-17804.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.00134277	-0.052062855	1.020688305	-0.2289	-1.03768	1.84646	3174789.0	1776544739.226498	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66144.465	-52752.915	-101493.09	-17734.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.006530745	-0.05261217	1.01269272	-0.94612	-0.32045999999999997	0.74774	3174790.0	1776544739.228133	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66194.955	-52744.095	-101553.97499999999	-17780.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.006530745	-0.05261217	1.01269272	-0.94612	-0.32045999999999997	0.74774	3174791.0	1776544739.228149	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66112.965	-52730.729999999996	-101622.915	-17862.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.006530745	-0.05261217	1.01269272	-0.94612	-0.32045999999999997	0.74774	3174792.0	1776544739.232223	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-65980.395	-52700.895	-101478.23999999999	-17698.995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.006530745	-0.05261217	1.01269272	-0.94612	-0.32045999999999997	0.74774	3174793.0	1776544739.232227	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
-66041.055	-52696.17	-101556.58499999999	-17785.844999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.86206896551727	0.0	0.006530745	-0.05261217	1.01269272	-0.94612	-0.32045999999999997	0.74774	3174794.0	1776544739.236267	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	8	0418
