Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
12135.645	36405.674999999996	-2198.6549999999997	-13544.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395291.0	1775936912.522158	3.0	1.0	3.0	-1.0	-1.0	-1.0	1775936912.522158	opened-hand	Open	1	20260411_124810	Trigger
13484.16	34902.81	-813.4649999999999	-12285.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395292.0	1775936912.522189	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.522189	opened-hand	Open	1	20260411_124810	Trigger
15570.945	31763.114999999998	1348.3799999999999	-10296.765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395293.0	1775936912.525967	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.525967	opened-hand	Open	1	20260411_124810	Trigger
16967.295	29230.829999999998	2858.9849999999997	-8906.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395294.0	1775936912.525986	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.525986	opened-hand	Open	1	20260411_124810	Trigger
17273.97	28214.91	3129.21	-8637.615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395295.0	1775936912.528679	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.528679	opened-hand	Open	1	20260411_124810	Trigger
16341.3	29168.37	2089.5299999999997	-9574.244999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395296.0	1775936912.528699	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.528699	opened-hand	Open	1	20260411_124810	Trigger
14413.455	31951.934999999998	99.72	-11404.755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395297.0	1775936912.536388	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.536388	opened-hand	Open	1	20260411_124810	Trigger
12708.359999999999	34764.119999999995	-1643.2649999999999	-12999.555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11120577	0.21557562	0.98534904	6.08874	-0.54936	-0.9919	395298.0	1775936912.536408	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.536408	opened-hand	Open	1	20260411_124810	Trigger
11937.42	36446.22	-2385.54	-13703.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11157198	0.216247005	0.982724535	5.7988	0.6103999999999999	-0.9003399999999999	395299.0	1775936912.536775	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.536775	opened-hand	Open	1	20260411_124810	Trigger
12807.63	35772.885	-1459.98	-12877.199999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11157198	0.216247005	0.982724535	5.7988	0.6103999999999999	-0.9003399999999999	395300.0	1775936912.53678	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.53678	opened-hand	Open	1	20260411_124810	Trigger
14859.404999999999	32939.909999999996	663.3	-10939.725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11157198	0.216247005	0.982724535	5.7988	0.6103999999999999	-0.9003399999999999	395301.0	1775936912.540718	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.540718	opened-hand	Open	1	20260411_124810	Trigger
16650.405	29988.629999999997	2532.87	-9219.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.68965517241378	0.0	0.11157198	0.216247005	0.982724535	5.7988	0.6103999999999999	-0.9003399999999999	395302.0	1775936912.540737	0.0	1.0	0.0	-1.0	-1.0	-1.0	1775936912.540737	opened-hand	Open	1	20260411_124810	Trigger
